==============================
Processo, 64, tempo, 3.940836, Prioridade,-1
Processo, 23, tempo, 3.992637, Prioridade,-1
Processo, 25, tempo, 3.990500, Prioridade,-1
Processo, 28, tempo, 3.985536, Prioridade,-1
Processo, 56, tempo, 3.944268, Prioridade,-1
Processo, 34, tempo, 3.985019, Prioridade,-1
Processo, 2, tempo, 4.006965, Prioridade,-1
Processo, 58, tempo, 3.949798, Prioridade,-1
Processo, 63, tempo, 3.940288, Prioridade,-1
Processo, 31, tempo, 3.994155, Prioridade,-1
Processo, 43, tempo, 3.954157, Prioridade,-1
Processo, 26, tempo, 4.000574, Prioridade,-1
Processo, 59, tempo, 3.947801, Prioridade,-1
Processo, 19, tempo, 3.882735, Prioridade,-1
Processo, 18, tempo, 3.895654, Prioridade,-1
Processo, 68, tempo, 3.924041, Prioridade,-1
Processo, 14, tempo, 3.911678, Prioridade,-1
Processo, 24, tempo, 4.010654, Prioridade,-1
Processo, 5, tempo, 3.982522, Prioridade,-1
Processo, 35, tempo, 3.987215, Prioridade,-1
Processo, 67, tempo, 3.932401, Prioridade,-1
Processo, 27, tempo, 4.008375, Prioridade,-1
Processo, 15, tempo, 3.940464, Prioridade,-1
Processo, 21, tempo, 3.987275, Prioridade,-1
Processo, 20, tempo, 3.960026, Prioridade,-1
Processo, 36, tempo, 4.001739, Prioridade,-1
Processo, 57, tempo, 3.967785, Prioridade,-1
Processo, 16, tempo, 3.928442, Prioridade,-1
Processo, 7, tempo, 3.978313, Prioridade,-1
==============================
Processo, 38, tempo, 4.266425, Prioridade,-1
Processo, 41, tempo, 4.218535, Prioridade,-1
Processo, 42, tempo, 4.287457, Prioridade,-1
Processo, 44, tempo, 4.288838, Prioridade,-1
Processo, 37, tempo, 4.318261, Prioridade,-1
Processo, 4, tempo, 4.283400, Prioridade,-1
Processo, 11, tempo, 4.259743, Prioridade,-1
Processo, 39, tempo, 4.299820, Prioridade,-1
Processo, 1, tempo, 4.336358, Prioridade,-1
Processo, 56, tempo, 4.286527, Prioridade,-1
Processo, 46, tempo, 4.334044, Prioridade,-1
Processo, 49, tempo, 4.288818, Prioridade,-1
Processo, 34, tempo, 4.331771, Prioridade,-1
Processo, 9, tempo, 4.271967, Prioridade,-1
Processo, 55, tempo, 4.321570, Prioridade,-1
Processo, 3, tempo, 4.307659, Prioridade,-1
Processo, 54, tempo, 4.270606, Prioridade,-1
Processo, 51, tempo, 4.322400, Prioridade,-1
Processo, 58, tempo, 4.271425, Prioridade,-1
Processo, 12, tempo, 4.315234, Prioridade,-1
Processo, 47, tempo, 4.363941, Prioridade,-1
Processo, 59, tempo, 4.355297, Prioridade,-1
Processo, 10, tempo, 4.346459, Prioridade,-1
Processo, 36, tempo, 4.394491, Prioridade,-1
Processo, 40, tempo, 4.396362, Prioridade,-1
Processo, 35, tempo, 4.497211, Prioridade,-1
